Country,fertrate,cagr
ARG       ,2.512333,0.020170
AUS       ,1.832333,0.028985
AUT       ,1.434194,0.016373
BEL       ,1.676000,0.016024
BGR       ,1.424000,0.022570
BRA       ,2.135000,0.022643
CAN       ,1.584667,0.020953
CHE       ,1.491935,0.015828
CHL       ,2.027000,0.039577
CHN       ,1.694000,0.080764
COL       ,2.351000,0.031275
CRI       ,2.258000,0.039996
CZE       ,1.445161,0.017024
DEU       ,1.388333,0.013048
DNK       ,1.759032,0.016456
ESP       ,1.288667,0.018660
FIN       ,1.728387,0.015465
FRA       ,1.859032,0.014274
GBR       ,1.770333,0.017962
GRC       ,1.338000,0.010834
HUN       ,1.433333,0.022260
IDN       ,2.555333,0.048394
IND       ,3.014000,0.060741
IRL       ,1.933333,0.047139
ISL       ,2.025000,0.025736
ISR       ,2.969000,0.037798
ITA       ,1.313000,0.006799
JPN       ,1.396000,0.007968
KOR       ,1.321667,0.041323
LTU       ,1.541667,0.034111
LUX       ,1.591935,0.031507
LVA       ,1.457333,0.031720
MEX       ,2.612000,0.023970
MLT       ,1.576000,0.018136
NLD       ,1.666000,0.021056
NOR       ,1.812581,0.027690
NZL       ,1.978710,0.017962
PRT       ,1.415667,0.014390
ROU       ,1.477000,0.029262
RUS       ,1.471333,0.023975
SAU       ,3.708333,0.033180
SVK       ,1.461667,0.032428
SVN       ,1.403333,0.020451
SWE       ,1.802258,0.020378
TUR       ,2.339333,0.043177
USA       ,1.966333,0.022968
ZAF       ,2.796667,0.023985